Model,Train_MacroF1,Test_MacroF1
XGBoost_Base,0.8763888049883882,0.4586550107897458
XGBoost_Regularized,0.866223112809385,0.45138382837534063
RandomForest_Base,0.8276893216433896,0.47533269199935874
RandomForest_Regularized,0.783894360154207,0.48306878306878304
MLP_2Layer_Base,0.747465735708059,0.48340899330708026
MLP_2Layer_Regularized,0.7129551689985948,0.4967785709507564
MLP_5Layer_Base,0.8088172291159988,0.46183385634955737
MLP_5Layer_Regularized,0.8288368146076509,0.4402550091074682
LogisticRegression_Base,0.33269225888349646,0.3775886132161436
LogisticRegression_L1,0.39727507738267187,0.365211088605584
